epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2481,0.55813,0.95468,0.82423,0.67482,0.76438,0.75677,0.59722,0.719,0.96699,0.84963,0.000551581,0.000551581,0.000551581
2,60.6337,0.73252,1.18548,0.85229,0.56465,0.73138,0.69407,0.52558,0.81386,1.00216,0.8744,0.00099763,0.00099763,0.00099763
3,88.3003,0.77011,1.20849,0.87614,0.59898,0.69986,0.68537,0.5215,0.74259,1.12525,0.86735,0.00133366,0.00133366,0.00133366
4,117.494,0.79711,1.28161,0.90385,0.53085,0.71592,0.68998,0.53668,0.70092,1.12393,0.87059,0.0011719,0.0011719,0.0011719
5,146.534,0.8272,1.31068,0.88834,0.59113,0.73648,0.70181,0.55271,0.72427,1.00697,0.87213,0.00100687,0.00100687,0.00100687
6,176.805,0.74389,1.20683,0.88544,0.57454,0.73122,0.69896,0.56023,0.67194,0.9306,0.8633,0.000841835,0.000841835,0.000841835
7,205.433,0.73269,1.18046,0.87143,0.60316,0.73878,0.71195,0.57093,0.68419,0.97961,0.86358,0.000676802,0.000676802,0.000676802
8,235.199,0.71062,1.12992,0.88747,0.55012,0.7616,0.70614,0.55443,0.68753,0.93138,0.86317,0.000511769,0.000511769,0.000511769
9,264.908,0.71429,1.11655,0.87239,0.57056,0.75652,0.71456,0.56099,0.68241,0.95916,0.86044,0.000346736,0.000346736,0.000346736
10,293.611,0.69421,1.10515,0.87276,0.58346,0.7478,0.70705,0.55493,0.66338,0.91301,0.85724,0.000181703,0.000181703,0.000181703
